Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG,,,
151,7/25/2012,4:11:27,10.3,0:13:49,9385,0.00E+00,0:01:01,20,13:06:01,,
152,7/25/2012,4:11:32,10.3,0:13:54,9391,0.00E+00,0:01:01,22,13:06:06,,
153,7/25/2012,4:11:37,10.3,0:13:59,9396,0.00E+00,0:01:01,21,13:06:11,,
154,7/25/2012,4:12:06,0,0:14:06,273,9.12E-01,0:01:04,823,13:06:40,,
155,7/25/2012,4:16:55,9.09,0:14:13,8260,0.00E+00,0:01:05,26,13:11:29,,
156,7/25/2012,4:17:00,9.06,0:14:18,8233,0.00E+00,0:01:05,21,13:11:34,,
157,7/25/2012,4:17:05,9.07,0:14:23,8240,0.00E+00,0:01:05,27,13:11:39,,
158,7/25/2012,4:17:10,8.62,0:14:28,7837,0.00E+00,0:01:05,21,13:11:44,,
159,7/25/2012,4:17:15,8.61,0:14:33,7823,0.00E+00,0:01:05,27,13:11:49,,
160,7/25/2012,4:17:20,8.58,0:14:38,7800,0.00E+00,0:01:05,25,13:11:54,,
161,7/25/2012,4:17:25,8.59,0:14:43,7807,0.00E+00,0:01:05,18,13:11:59,,
162,7/25/2012,4:17:30,8.58,0:14:48,7802,0.00E+00,0:01:05,26,13:12:04,,
163,7/25/2012,4:17:35,8.59,0:14:53,7803,0.00E+00,0:01:05,22,13:12:09,,
164,7/25/2012,4:17:40,8.58,0:14:58,7802,0.00E+00,0:01:05,23,13:12:14,,
165,7/25/2012,4:17:45,8.58,0:15:03,7796,0.00E+00,0:01:05,23,13:12:19,,
166,7/25/2012,4:18:11,8.45,0:15:12,7676,0.00E+00,0:01:06,23,13:12:45,,
167,7/25/2012,4:18:16,8.45,0:15:18,7678,0.00E+00,0:01:06,20,13:12:50,,
168,7/25/2012,4:18:21,8.44,0:15:23,7668,0.00E+00,0:01:06,26,13:12:55,,
169,7/25/2012,4:20:17,9,0:15:31,8183,0.00E+00,0:01:07,23,13:14:51,,
170,7/25/2012,4:20:22,9.01,0:15:36,8190,0.00E+00,0:01:07,21,13:14:56,,
171,7/25/2012,4:20:27,8.93,0:15:41,8120,0.00E+00,0:01:07,21,13:15:01,,
172,7/25/2012,4:20:32,8.92,0:15:46,8108,0.00E+00,0:01:07,27,13:15:06,,
173,7/25/2012,4:20:37,8.91,0:15:51,8097,0.00E+00,0:01:07,20,13:15:11,,
174,7/25/2012,4:20:43,4.79,0:15:56,4281,1.04E+00,0:01:07,955,13:15:17,,
175,7/25/2012,4:32:46,11.2,0:16:02,10162,0.00E+00,0:01:10,18,13:27:20,,
176,7/25/2012,4:32:51,11.2,0:16:07,10163,0.00E+00,0:01:10,26,13:27:25,,
177,7/25/2012,4:32:56,11.1,0:16:12,10131,0.00E+00,0:01:10,21,13:27:30,,
178,7/25/2012,4:33:01,11.2,0:16:17,10147,0.00E+00,0:01:10,32,13:27:35,,
179,7/25/2012,4:33:06,11.2,0:16:22,10166,0.00E+00,0:01:10,22,13:27:40,,
180,7/25/2012,4:33:11,11.2,0:16:27,10143,0.00E+00,0:01:10,21,13:27:45,,
